cbecd20b-8614-49f3-9c7f-26388b895b68,2026-09-16T11:37:27Z,25-34,Female,Student,Basic,Europe,0150_front_kick,653,reference_vs_distorted,motion_blur,single/0150_front_kick_reference.mp4,single/0150_front_kick_motion_blur_severe.mp4,a,reference,17874,4,2
3dc03969-f14d-4487-a6fe-95ad01cc6965,2026-09-16T11:37:31Z,18-24,Female,Student,Not an expert,South Asia,0150_bmlmovi_walk,574,reference_vs_distorted,joint_noise,single/0150_bmlmovi_walk_joint_noise_moderate.mp4,single/0150_bmlmovi_walk_reference.mp4,b,reference,19948,2,4
9313e98e-a6da-46bd-84d5-b80ee9fa0311,2026-09-16T11:37:38Z,18-24,Female,Student,Intermediate,Europe,0450_pickup_box,1287,adjacent_severity,smoothing,single/0450_pickup_box_smoothing_moderate.mp4,single/0450_pickup_box_smoothing_mild.mp4,a,moderate,23677,5,4
cbecd20b-8614-49f3-9c7f-26388b895b68,2026-09-16T11:37:46Z,25-34,Female,Student,Basic,Europe,0150_front_kick,636,reference_vs_distorted,smoothing,single/0150_front_kick_smoothing_mild.mp4,single/0150_front_kick_reference.mp4,a,mild,17802,4,3
3dc03969-f14d-4487-a6fe-95ad01cc6965,2026-09-16T11:37:52Z,18-24,Female,Student,Not an expert,South Asia,0150_bmlmovi_walk,571,reference_vs_distorted,jitter,single/0150_bmlmovi_walk_reference.mp4,single/0150_bmlmovi_walk_jitter_moderate.mp4,a,reference,20411,4,1
cbecd20b-8614-49f3-9c7f-26388b895b68,2026-09-16T11:38:05Z,25-34,Female,Student,Basic,Europe,0150_front_kick,631,reference_vs_distorted,joint_noise,single/0150_front_kick_reference.mp4,single/0150_front_kick_joint_noise_moderate.mp4,a,reference,16718,4,1
9313e98e-a6da-46bd-84d5-b80ee9fa0311,2026-09-16T11:38:07Z,18-24,Female,Student,Intermediate,Europe,0450_pickup_box,1290,adjacent_severity,param_quantization,single/0450_pickup_box_param_quantization_moderate.mp4,single/0450_pickup_box_param_quantization_severe.mp4,a,moderate,28264,2,1
9313e98e-a6da-46bd-84d5-b80ee9fa0311,2026-09-16T11:38:17Z,18-24,Female,Student,Intermediate,Europe,0450_pickup_box,1282,adjacent_severity,jitter,single/0450_pickup_box_jitter_severe.mp4,single/0450_pickup_box_jitter_moderate.mp4,b,moderate,9146,1,2
3dc03969-f14d-4487-a6fe-95ad01cc6965,2026-09-16T11:38:19Z,18-24,Female,Student,Not an expert,South Asia,0150_bmlmovi_walk,609,adjacent_severity,mesh_decimation,single/0150_bmlmovi_walk_mesh_decimation_mild.mp4,single/0150_bmlmovi_walk_mesh_decimation_moderate.mp4,a,mild,25299,3,3
cbecd20b-8614-49f3-9c7f-26388b895b68,2026-09-16T11:38:20Z,25-34,Female,Student,Basic,Europe,0150_front_kick,632,reference_vs_distorted,joint_noise,single/0150_front_kick_reference.mp4,single/0150_front_kick_joint_noise_severe.mp4,a,reference,14682,5,1
cbecd20b-8614-49f3-9c7f-26388b895b68,2026-09-16T11:38:32Z,25-34,Female,Student,Basic,Europe,0150_front_kick,633,reference_vs_distorted,frame_drop,single/0150_front_kick_reference.mp4,single/0150_front_kick_frame_drop_mild.mp4,a,reference,10318,4,3
3dc03969-f14d-4487-a6fe-95ad01cc6965,2026-09-16T11:38:46Z,18-24,Female,Student,Not an expert,South Asia,0150_bmlmovi_walk,585,reference_vs_distorted,vertex_quantization,single/0150_bmlmovi_walk_vertex_quantization_mild.mp4,single/0150_bmlmovi_walk_reference.mp4,a,mild,26066,3,3
cbecd20b-8614-49f3-9c7f-26388b895b68,2026-09-16T11:39:14Z,25-34,Female,Student,Basic,Europe,0150_front_kick,644,reference_vs_distorted,vertex_quantization,single/0150_front_kick_vertex_quantization_severe.mp4,single/0150_front_kick_reference.mp4,b,reference,40993,2,4
3dc03969-f14d-4487-a6fe-95ad01cc6965,2026-09-16T11:39:17Z,18-24,Female,Student,Not an expert,South Asia,0150_bmlmovi_walk,594,reference_vs_distorted,motion_blur,single/0150_bmlmovi_walk_motion_blur_mild.mp4,single/0150_bmlmovi_walk_reference.mp4,b,reference,29925,3,2
