pair_id,subject,clip,comparison_type,distortion_type,video_a,video_b,level_a,level_b
12,0000,bmlmovi_walk,reference_vs_distorted,param_quantization,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_param_quantization_mild.mp4,reference,mild
13,0000,bmlmovi_walk,reference_vs_distorted,param_quantization,single/0000_bmlmovi_walk_param_quantization_moderate.mp4,single/0000_bmlmovi_walk_reference.mp4,moderate,reference
14,0000,bmlmovi_walk,reference_vs_distorted,param_quantization,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_param_quantization_severe.mp4,reference,severe
15,0000,bmlmovi_walk,reference_vs_distorted,vertex_quantization,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_vertex_quantization_mild.mp4,reference,mild
16,0000,bmlmovi_walk,reference_vs_distorted,vertex_quantization,single/0000_bmlmovi_walk_vertex_quantization_moderate.mp4,single/0000_bmlmovi_walk_reference.mp4,moderate,reference
17,0000,bmlmovi_walk,reference_vs_distorted,vertex_quantization,single/0000_bmlmovi_walk_vertex_quantization_severe.mp4,single/0000_bmlmovi_walk_reference.mp4,severe,reference
18,0000,bmlmovi_walk,reference_vs_distorted,mesh_decimation,single/0000_bmlmovi_walk_mesh_decimation_mild.mp4,single/0000_bmlmovi_walk_reference.mp4,mild,reference
19,0000,bmlmovi_walk,reference_vs_distorted,mesh_decimation,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_mesh_decimation_moderate.mp4,reference,moderate
20,0000,bmlmovi_walk,reference_vs_distorted,mesh_decimation,single/0000_bmlmovi_walk_mesh_decimation_severe.mp4,single/0000_bmlmovi_walk_reference.mp4,severe,reference
21,0000,bmlmovi_walk,reference_vs_distorted,texture_compression,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_texture_compression_mild.mp4,reference,mild
22,0000,bmlmovi_walk,reference_vs_distorted,texture_compression,single/0000_bmlmovi_walk_texture_compression_moderate.mp4,single/0000_bmlmovi_walk_reference.mp4,moderate,reference
23,0000,bmlmovi_walk,reference_vs_distorted,texture_compression,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_texture_compression_severe.mp4,reference,severe
24,0000,bmlmovi_walk,reference_vs_distorted,motion_blur,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_motion_blur_mild.mp4,reference,mild
25,0000,bmlmovi_walk,reference_vs_distorted,motion_blur,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_motion_blur_moderate.mp4,reference,moderate
26,0000,bmlmovi_walk,reference_vs_distorted,motion_blur,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_motion_blur_severe.mp4,reference,severe
27,0000,bmlmovi_walk,adjacent_severity,jitter,single/0000_bmlmovi_walk_jitter_moderate.mp4,single/0000_bmlmovi_walk_jitter_mild.mp4,moderate,mild
28,0000,bmlmovi_walk,adjacent_severity,jitter,single/0000_bmlmovi_walk_jitter_moderate.mp4,single/0000_bmlmovi_walk_jitter_severe.mp4,moderate,severe
29,0000,bmlmovi_walk,adjacent_severity,joint_noise,single/0000_bmlmovi_walk_joint_noise_moderate.mp4,single/0000_bmlmovi_walk_joint_noise_mild.mp4,moderate,mild
30,0000,bmlmovi_walk,adjacent_severity,joint_noise,single/0000_bmlmovi_walk_joint_noise_severe.mp4,single/0000_bmlmovi_walk_joint_noise_moderate.mp4,severe,moderate
31,0000,bmlmovi_walk,adjacent_severity,frame_drop,single/0000_bmlmovi_walk_frame_drop_mild.mp4,single/0000_bmlmovi_walk_frame_drop_moderate.mp4,mild,moderate
32,0000,bmlmovi_walk,adjacent_severity,frame_drop,single/0000_bmlmovi_walk_frame_drop_severe.mp4,single/0000_bmlmovi_walk_frame_drop_moderate.mp4,severe,moderate
33,0000,bmlmovi_walk,adjacent_severity,smoothing,single/0000_bmlmovi_walk_smoothing_mild.mp4,single/0000_bmlmovi_walk_smoothing_moderate.mp4,mild,moderate
34,0000,bmlmovi_walk,adjacent_severity,smoothing,single/0000_bmlmovi_walk_smoothing_moderate.mp4,single/0000_bmlmovi_walk_smoothing_severe.mp4,moderate,severe
35,0000,bmlmovi_walk,adjacent_severity,param_quantization,single/0000_bmlmovi_walk_param_quantization_mild.mp4,single/0000_bmlmovi_walk_param_quantization_moderate.mp4,mild,moderate
36,0000,bmlmovi_walk,adjacent_severity,param_quantization,single/0000_bmlmovi_walk_param_quantization_severe.mp4,single/0000_bmlmovi_walk_param_quantization_moderate.mp4,severe,moderate
37,0000,bmlmovi_walk,adjacent_severity,vertex_quantization,single/0000_bmlmovi_walk_vertex_quantization_mild.mp4,single/0000_bmlmovi_walk_vertex_quantization_moderate.mp4,mild,moderate
38,0000,bmlmovi_walk,adjacent_severity,vertex_quantization,single/0000_bmlmovi_walk_vertex_quantization_moderate.mp4,single/0000_bmlmovi_walk_vertex_quantization_severe.mp4,moderate,severe
39,0000,bmlmovi_walk,adjacent_severity,mesh_decimation,single/0000_bmlmovi_walk_mesh_decimation_moderate.mp4,single/0000_bmlmovi_walk_mesh_decimation_mild.mp4,moderate,mild
40,0000,bmlmovi_walk,adjacent_severity,mesh_decimation,single/0000_bmlmovi_walk_mesh_decimation_moderate.mp4,single/0000_bmlmovi_walk_mesh_decimation_severe.mp4,moderate,severe
41,0000,bmlmovi_walk,adjacent_severity,texture_compression,single/0000_bmlmovi_walk_texture_compression_mild.mp4,single/0000_bmlmovi_walk_texture_compression_moderate.mp4,mild,moderate
42,0000,bmlmovi_walk,adjacent_severity,texture_compression,single/0000_bmlmovi_walk_texture_compression_severe.mp4,single/0000_bmlmovi_walk_texture_compression_moderate.mp4,severe,moderate
43,0000,bmlmovi_walk,adjacent_severity,motion_blur,single/0000_bmlmovi_walk_motion_blur_moderate.mp4,single/0000_bmlmovi_walk_motion_blur_mild.mp4,moderate,mild
44,0000,bmlmovi_walk,adjacent_severity,motion_blur,single/0000_bmlmovi_walk_motion_blur_moderate.mp4,single/0000_bmlmovi_walk_motion_blur_severe.mp4,moderate,severe
45,0000,bmlmovi_walk,reference_vs_mixed,jitter+texture_compression,mixed/0000_bmlmovi_walk_jitter+texture_compression_mild+mild.mp4,single/0000_bmlmovi_walk_reference.mp4,mild+mild,reference
46,0000,bmlmovi_walk,reference_vs_mixed,jitter+texture_compression,mixed/0000_bmlmovi_walk_jitter+texture_compression_severe+severe.mp4,single/0000_bmlmovi_walk_reference.mp4,severe+severe,reference
47,0000,bmlmovi_walk,reference_vs_mixed,frame_drop+mesh_decimation,mixed/0000_bmlmovi_walk_frame_drop+mesh_decimation_mild+mild.mp4,single/0000_bmlmovi_walk_reference.mp4,mild+mild,reference
48,0000,bmlmovi_walk,reference_vs_mixed,frame_drop+mesh_decimation,mixed/0000_bmlmovi_walk_frame_drop+mesh_decimation_severe+severe.mp4,single/0000_bmlmovi_walk_reference.mp4,severe+severe,reference
49,0000,bmlmovi_walk,reference_vs_mixed,joint_noise+vertex_quantization,single/0000_bmlmovi_walk_reference.mp4,mixed/0000_bmlmovi_walk_joint_noise+vertex_quantization_mild+mild.mp4,reference,mild+mild
50,0000,bmlmovi_walk,reference_vs_mixed,joint_noise+vertex_quantization,mixed/0000_bmlmovi_walk_joint_noise+vertex_quantization_severe+severe.mp4,single/0000_bmlmovi_walk_reference.mp4,severe+severe,reference
51,0000,bmlmovi_walk,reference_vs_mixed,smoothing+texture_compression,single/0000_bmlmovi_walk_reference.mp4,mixed/0000_bmlmovi_walk_smoothing+texture_compression_mild+mild.mp4,reference,mild+mild
52,0000,bmlmovi_walk,reference_vs_mixed,smoothing+texture_compression,single/0000_bmlmovi_walk_reference.mp4,mixed/0000_bmlmovi_walk_smoothing+texture_compression_severe+severe.mp4,reference,severe+severe
53,0000,bmlmovi_walk,reference_vs_mixed,param_quantization+mesh_decimation,mixed/0000_bmlmovi_walk_param_quantization+mesh_decimation_mild+mild.mp4,single/0000_bmlmovi_walk_reference.mp4,mild+mild,reference
54,0000,bmlmovi_walk,reference_vs_mixed,param_quantization+mesh_decimation,single/0000_bmlmovi_walk_reference.mp4,mixed/0000_bmlmovi_walk_param_quantization+mesh_decimation_severe+severe.mp4,reference,severe+severe
55,0000,bmlmovi_walk,reference_vs_mixed,motion_blur+vertex_quantization,single/0000_bmlmovi_walk_reference.mp4,mixed/0000_bmlmovi_walk_motion_blur+vertex_quantization_mild+mild.mp4,reference,mild+mild
56,0000,bmlmovi_walk,reference_vs_mixed,motion_blur+vertex_quantization,single/0000_bmlmovi_walk_reference.mp4,mixed/0000_bmlmovi_walk_motion_blur+vertex_quantization_severe+severe.mp4,reference,severe+severe
57,0000,front_kick,reference_vs_distorted,jitter,single/0000_front_kick_jitter_mild.mp4,single/0000_front_kick_reference.mp4,mild,reference
58,0000,front_kick,reference_vs_distorted,jitter,single/0000_front_kick_jitter_moderate.mp4,single/0000_front_kick_reference.mp4,moderate,reference
59,0000,front_kick,reference_vs_distorted,jitter,single/0000_front_kick_jitter_severe.mp4,single/0000_front_kick_reference.mp4,severe,reference
60,0000,front_kick,reference_vs_distorted,joint_noise,single/0000_front_kick_joint_noise_mild.mp4,single/0000_front_kick_reference.mp4,mild,reference
61,0000,front_kick,reference_vs_distorted,joint_noise,single/0000_front_kick_reference.mp4,single/0000_front_kick_joint_noise_moderate.mp4,reference,moderate
62,0000,front_kick,reference_vs_distorted,joint_noise,single/0000_front_kick_joint_noise_severe.mp4,single/0000_front_kick_reference.mp4,severe,reference
63,0000,front_kick,reference_vs_distorted,frame_drop,single/0000_front_kick_frame_drop_mild.mp4,single/0000_front_kick_reference.mp4,mild,reference
64,0000,front_kick,reference_vs_distorted,frame_drop,single/0000_front_kick_frame_drop_moderate.mp4,single/0000_front_kick_reference.mp4,moderate,reference
65,0000,front_kick,reference_vs_distorted,frame_drop,single/0000_front_kick_reference.mp4,single/0000_front_kick_frame_drop_severe.mp4,reference,severe
66,0000,front_kick,reference_vs_distorted,smoothing,single/0000_front_kick_smoothing_mild.mp4,single/0000_front_kick_reference.mp4,mild,reference
67,0000,front_kick,reference_vs_distorted,smoothing,single/0000_front_kick_smoothing_moderate.mp4,single/0000_front_kick_reference.mp4,moderate,reference
68,0000,front_kick,reference_vs_distorted,smoothing,single/0000_front_kick_reference.mp4,single/0000_front_kick_smoothing_severe.mp4,reference,severe
69,0000,front_kick,reference_vs_distorted,param_quantization,single/0000_front_kick_param_quantization_mild.mp4,single/0000_front_kick_reference.mp4,mild,reference
70,0000,front_kick,reference_vs_distorted,param_quantization,single/0000_front_kick_reference.mp4,single/0000_front_kick_param_quantization_moderate.mp4,reference,moderate
71,0000,front_kick,reference_vs_distorted,param_quantization,single/0000_front_kick_param_quantization_severe.mp4,single/0000_front_kick_reference.mp4,severe,reference
72,0000,front_kick,reference_vs_distorted,vertex_quantization,single/0000_front_kick_vertex_quantization_mild.mp4,single/0000_front_kick_reference.mp4,mild,reference
73,0000,front_kick,reference_vs_distorted,vertex_quantization,single/0000_front_kick_vertex_quantization_moderate.mp4,single/0000_front_kick_reference.mp4,moderate,reference
74,0000,front_kick,reference_vs_distorted,vertex_quantization,single/0000_front_kick_vertex_quantization_severe.mp4,single/0000_front_kick_reference.mp4,severe,reference
75,0000,front_kick,reference_vs_distorted,mesh_decimation,single/0000_front_kick_reference.mp4,single/0000_front_kick_mesh_decimation_mild.mp4,reference,mild
76,0000,front_kick,reference_vs_distorted,mesh_decimation,single/0000_front_kick_reference.mp4,single/0000_front_kick_mesh_decimation_moderate.mp4,reference,moderate
77,0000,front_kick,reference_vs_distorted,mesh_decimation,single/0000_front_kick_mesh_decimation_severe.mp4,single/0000_front_kick_reference.mp4,severe,reference
78,0000,front_kick,reference_vs_distorted,texture_compression,single/0000_front_kick_reference.mp4,single/0000_front_kick_texture_compression_mild.mp4,reference,mild
79,0000,front_kick,reference_vs_distorted,texture_compression,single/0000_front_kick_reference.mp4,single/0000_front_kick_texture_compression_moderate.mp4,reference,moderate
80,0000,front_kick,reference_vs_distorted,texture_compression,single/0000_front_kick_reference.mp4,single/0000_front_kick_texture_compression_severe.mp4,reference,severe
81,0000,front_kick,reference_vs_distorted,motion_blur,single/0000_front_kick_reference.mp4,single/0000_front_kick_motion_blur_mild.mp4,reference,mild
82,0000,front_kick,reference_vs_distorted,motion_blur,single/0000_front_kick_reference.mp4,single/0000_front_kick_motion_blur_moderate.mp4,reference,moderate
83,0000,front_kick,reference_vs_distorted,motion_blur,single/0000_front_kick_motion_blur_severe.mp4,single/0000_front_kick_reference.mp4,severe,reference
84,0000,front_kick,adjacent_severity,jitter,single/0000_front_kick_jitter_mild.mp4,single/0000_front_kick_jitter_moderate.mp4,mild,moderate
85,0000,front_kick,adjacent_severity,jitter,single/0000_front_kick_jitter_moderate.mp4,single/0000_front_kick_jitter_severe.mp4,moderate,severe
86,0000,front_kick,adjacent_severity,joint_noise,single/0000_front_kick_joint_noise_mild.mp4,single/0000_front_kick_joint_noise_moderate.mp4,mild,moderate
87,0000,front_kick,adjacent_severity,joint_noise,single/0000_front_kick_joint_noise_severe.mp4,single/0000_front_kick_joint_noise_moderate.mp4,severe,moderate
88,0000,front_kick,adjacent_severity,frame_drop,single/0000_front_kick_frame_drop_mild.mp4,single/0000_front_kick_frame_drop_moderate.mp4,mild,moderate
89,0000,front_kick,adjacent_severity,frame_drop,single/0000_front_kick_frame_drop_moderate.mp4,single/0000_front_kick_frame_drop_severe.mp4,moderate,severe
90,0000,front_kick,adjacent_severity,smoothing,single/0000_front_kick_smoothing_moderate.mp4,single/0000_front_kick_smoothing_mild.mp4,moderate,mild
91,0000,front_kick,adjacent_severity,smoothing,single/0000_front_kick_smoothing_severe.mp4,single/0000_front_kick_smoothing_moderate.mp4,severe,moderate
92,0000,front_kick,adjacent_severity,param_quantization,single/0000_front_kick_param_quantization_moderate.mp4,single/0000_front_kick_param_quantization_mild.mp4,moderate,mild
93,0000,front_kick,adjacent_severity,param_quantization,single/0000_front_kick_param_quantization_severe.mp4,single/0000_front_kick_param_quantization_moderate.mp4,severe,moderate
94,0000,front_kick,adjacent_severity,vertex_quantization,single/0000_front_kick_vertex_quantization_mild.mp4,single/0000_front_kick_vertex_quantization_moderate.mp4,mild,moderate
95,0000,front_kick,adjacent_severity,vertex_quantization,single/0000_front_kick_vertex_quantization_moderate.mp4,single/0000_front_kick_vertex_quantization_severe.mp4,moderate,severe
96,0000,front_kick,adjacent_severity,mesh_decimation,single/0000_front_kick_mesh_decimation_mild.mp4,single/0000_front_kick_mesh_decimation_moderate.mp4,mild,moderate
97,0000,front_kick,adjacent_severity,mesh_decimation,single/0000_front_kick_mesh_decimation_severe.mp4,single/0000_front_kick_mesh_decimation_moderate.mp4,severe,moderate
98,0000,front_kick,adjacent_severity,texture_compression,single/0000_front_kick_texture_compression_moderate.mp4,single/0000_front_kick_texture_compression_mild.mp4,moderate,mild
99,0000,front_kick,adjacent_severity,texture_compression,single/0000_front_kick_texture_compression_moderate.mp4,single/0000_front_kick_texture_compression_severe.mp4,moderate,severe
100,0000,front_kick,adjacent_severity,motion_blur,single/0000_front_kick_motion_blur_mild.mp4,single/0000_front_kick_motion_blur_moderate.mp4,mild,moderate
101,0000,front_kick,adjacent_severity,motion_blur,single/0000_front_kick_motion_blur_moderate.mp4,single/0000_front_kick_motion_blur_severe.mp4,moderate,severe
102,0000,front_kick,reference_vs_mixed,jitter+texture_compression,single/0000_front_kick_reference.mp4,mixed/0000_front_kick_jitter+texture_compression_mild+mild.mp4,reference,mild+mild
103,0000,front_kick,reference_vs_mixed,jitter+texture_compression,single/0000_front_kick_reference.mp4,mixed/0000_front_kick_jitter+texture_compression_severe+severe.mp4,reference,severe+severe
104,0000,front_kick,reference_vs_mixed,frame_drop+mesh_decimation,mixed/0000_front_kick_frame_drop+mesh_decimation_mild+mild.mp4,single/0000_front_kick_reference.mp4,mild+mild,reference
105,0000,front_kick,reference_vs_mixed,frame_drop+mesh_decimation,single/0000_front_kick_reference.mp4,mixed/0000_front_kick_frame_drop+mesh_decimation_severe+severe.mp4,reference,severe+severe
106,0000,front_kick,reference_vs_mixed,joint_noise+vertex_quantization,single/0000_front_kick_reference.mp4,mixed/0000_front_kick_joint_noise+vertex_quantization_mild+mild.mp4,reference,mild+mild
107,0000,front_kick,reference_vs_mixed,joint_noise+vertex_quantization,single/0000_front_kick_reference.mp4,mixed/0000_front_kick_joint_noise+vertex_quantization_severe+severe.mp4,reference,severe+severe
108,0000,front_kick,reference_vs_mixed,smoothing+texture_compression,single/0000_front_kick_reference.mp4,mixed/0000_front_kick_smoothing+texture_compression_mild+mild.mp4,reference,mild+mild
109,0000,front_kick,reference_vs_mixed,smoothing+texture_compression,mixed/0000_front_kick_smoothing+texture_compression_severe+severe.mp4,single/0000_front_kick_reference.mp4,severe+severe,reference
110,0000,front_kick,reference_vs_mixed,param_quantization+mesh_decimation,mixed/0000_front_kick_param_quantization+mesh_decimation_mild+mild.mp4,single/0000_front_kick_reference.mp4,mild+mild,reference
111,0000,front_kick,reference_vs_mixed,param_quantization+mesh_decimation,mixed/0000_front_kick_param_quantization+mesh_decimation_severe+severe.mp4,single/0000_front_kick_reference.mp4,severe+severe,reference
112,0000,front_kick,reference_vs_mixed,motion_blur+vertex_quantization,mixed/0000_front_kick_motion_blur+vertex_quantization_mild+mild.mp4,single/0000_front_kick_reference.mp4,mild+mild,reference
113,0000,front_kick,reference_vs_mixed,motion_blur+vertex_quantization,mixed/0000_front_kick_motion_blur+vertex_quantization_severe+severe.mp4,single/0000_front_kick_reference.mp4,severe+severe,reference
114,0000,pickup_box,reference_vs_distorted,jitter,single/0000_pickup_box_jitter_mild.mp4,single/0000_pickup_box_reference.mp4,mild,reference
115,0000,pickup_box,reference_vs_distorted,jitter,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_jitter_moderate.mp4,reference,moderate
116,0000,pickup_box,reference_vs_distorted,jitter,single/0000_pickup_box_jitter_severe.mp4,single/0000_pickup_box_reference.mp4,severe,reference
117,0000,pickup_box,reference_vs_distorted,joint_noise,single/0000_pickup_box_joint_noise_mild.mp4,single/0000_pickup_box_reference.mp4,mild,reference
118,0000,pickup_box,reference_vs_distorted,joint_noise,single/0000_pickup_box_joint_noise_moderate.mp4,single/0000_pickup_box_reference.mp4,moderate,reference
119,0000,pickup_box,reference_vs_distorted,joint_noise,single/0000_pickup_box_joint_noise_severe.mp4,single/0000_pickup_box_reference.mp4,severe,reference
120,0000,pickup_box,reference_vs_distorted,frame_drop,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_frame_drop_mild.mp4,reference,mild
121,0000,pickup_box,reference_vs_distorted,frame_drop,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_frame_drop_moderate.mp4,reference,moderate
122,0000,pickup_box,reference_vs_distorted,frame_drop,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_frame_drop_severe.mp4,reference,severe
123,0000,pickup_box,reference_vs_distorted,smoothing,single/0000_pickup_box_smoothing_mild.mp4,single/0000_pickup_box_reference.mp4,mild,reference
124,0000,pickup_box,reference_vs_distorted,smoothing,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_smoothing_moderate.mp4,reference,moderate
125,0000,pickup_box,reference_vs_distorted,smoothing,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_smoothing_severe.mp4,reference,severe
126,0000,pickup_box,reference_vs_distorted,param_quantization,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_param_quantization_mild.mp4,reference,mild
127,0000,pickup_box,reference_vs_distorted,param_quantization,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_param_quantization_moderate.mp4,reference,moderate
128,0000,pickup_box,reference_vs_distorted,param_quantization,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_param_quantization_severe.mp4,reference,severe
129,0000,pickup_box,reference_vs_distorted,vertex_quantization,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_vertex_quantization_mild.mp4,reference,mild
130,0000,pickup_box,reference_vs_distorted,vertex_quantization,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_vertex_quantization_moderate.mp4,reference,moderate
131,0000,pickup_box,reference_vs_distorted,vertex_quantization,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_vertex_quantization_severe.mp4,reference,severe
132,0000,pickup_box,reference_vs_distorted,mesh_decimation,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_mesh_decimation_mild.mp4,reference,mild
133,0000,pickup_box,reference_vs_distorted,mesh_decimation,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_mesh_decimation_moderate.mp4,reference,moderate
134,0000,pickup_box,reference_vs_distorted,mesh_decimation,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_mesh_decimation_severe.mp4,reference,severe
135,0000,pickup_box,reference_vs_distorted,texture_compression,single/0000_pickup_box_texture_compression_mild.mp4,single/0000_pickup_box_reference.mp4,mild,reference
136,0000,pickup_box,reference_vs_distorted,texture_compression,single/0000_pickup_box_texture_compression_moderate.mp4,single/0000_pickup_box_reference.mp4,moderate,reference
137,0000,pickup_box,reference_vs_distorted,texture_compression,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_texture_compression_severe.mp4,reference,severe
138,0000,pickup_box,reference_vs_distorted,motion_blur,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_motion_blur_mild.mp4,reference,mild
139,0000,pickup_box,reference_vs_distorted,motion_blur,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_motion_blur_moderate.mp4,reference,moderate
140,0000,pickup_box,reference_vs_distorted,motion_blur,single/0000_pickup_box_reference.mp4,single/0000_pickup_box_motion_blur_severe.mp4,reference,severe
141,0000,pickup_box,adjacent_severity,jitter,single/0000_pickup_box_jitter_mild.mp4,single/0000_pickup_box_jitter_moderate.mp4,mild,moderate
142,0000,pickup_box,adjacent_severity,jitter,single/0000_pickup_box_jitter_severe.mp4,single/0000_pickup_box_jitter_moderate.mp4,severe,moderate
143,0000,pickup_box,adjacent_severity,joint_noise,single/0000_pickup_box_joint_noise_moderate.mp4,single/0000_pickup_box_joint_noise_mild.mp4,moderate,mild
144,0000,pickup_box,adjacent_severity,joint_noise,single/0000_pickup_box_joint_noise_moderate.mp4,single/0000_pickup_box_joint_noise_severe.mp4,moderate,severe
145,0000,pickup_box,adjacent_severity,frame_drop,single/0000_pickup_box_frame_drop_mild.mp4,single/0000_pickup_box_frame_drop_moderate.mp4,mild,moderate
146,0000,pickup_box,adjacent_severity,frame_drop,single/0000_pickup_box_frame_drop_moderate.mp4,single/0000_pickup_box_frame_drop_severe.mp4,moderate,severe
147,0000,pickup_box,adjacent_severity,smoothing,single/0000_pickup_box_smoothing_mild.mp4,single/0000_pickup_box_smoothing_moderate.mp4,mild,moderate
148,0000,pickup_box,adjacent_severity,smoothing,single/0000_pickup_box_smoothing_moderate.mp4,single/0000_pickup_box_smoothing_severe.mp4,moderate,severe
149,0000,pickup_box,adjacent_severity,param_quantization,single/0000_pickup_box_param_quantization_mild.mp4,single/0000_pickup_box_param_quantization_moderate.mp4,mild,moderate
150,0000,pickup_box,adjacent_severity,param_quantization,single/0000_pickup_box_param_quantization_severe.mp4,single/0000_pickup_box_param_quantization_moderate.mp4,severe,moderate
151,0000,pickup_box,adjacent_severity,vertex_quantization,single/0000_pickup_box_vertex_quantization_mild.mp4,single/0000_pickup_box_vertex_quantization_moderate.mp4,mild,moderate
152,0000,pickup_box,adjacent_severity,vertex_quantization,single/0000_pickup_box_vertex_quantization_moderate.mp4,single/0000_pickup_box_vertex_quantization_severe.mp4,moderate,severe
153,0000,pickup_box,adjacent_severity,mesh_decimation,single/0000_pickup_box_mesh_decimation_moderate.mp4,single/0000_pickup_box_mesh_decimation_mild.mp4,moderate,mild
154,0000,pickup_box,adjacent_severity,mesh_decimation,single/0000_pickup_box_mesh_decimation_severe.mp4,single/0000_pickup_box_mesh_decimation_moderate.mp4,severe,moderate
155,0000,pickup_box,adjacent_severity,texture_compression,single/0000_pickup_box_texture_compression_mild.mp4,single/0000_pickup_box_texture_compression_moderate.mp4,mild,moderate
156,0000,pickup_box,adjacent_severity,texture_compression,single/0000_pickup_box_texture_compression_severe.mp4,single/0000_pickup_box_texture_compression_moderate.mp4,severe,moderate
157,0000,pickup_box,adjacent_severity,motion_blur,single/0000_pickup_box_motion_blur_mild.mp4,single/0000_pickup_box_motion_blur_moderate.mp4,mild,moderate
158,0000,pickup_box,adjacent_severity,motion_blur,single/0000_pickup_box_motion_blur_severe.mp4,single/0000_pickup_box_motion_blur_moderate.mp4,severe,moderate
159,0000,pickup_box,reference_vs_mixed,jitter+texture_compression,mixed/0000_pickup_box_jitter+texture_compression_mild+mild.mp4,single/0000_pickup_box_reference.mp4,mild+mild,reference
160,0000,pickup_box,reference_vs_mixed,jitter+texture_compression,mixed/0000_pickup_box_jitter+texture_compression_severe+severe.mp4,single/0000_pickup_box_reference.mp4,severe+severe,reference
161,0000,pickup_box,reference_vs_mixed,frame_drop+mesh_decimation,mixed/0000_pickup_box_frame_drop+mesh_decimation_mild+mild.mp4,single/0000_pickup_box_reference.mp4,mild+mild,reference
162,0000,pickup_box,reference_vs_mixed,frame_drop+mesh_decimation,single/0000_pickup_box_reference.mp4,mixed/0000_pickup_box_frame_drop+mesh_decimation_severe+severe.mp4,reference,severe+severe
163,0000,pickup_box,reference_vs_mixed,joint_noise+vertex_quantization,single/0000_pickup_box_reference.mp4,mixed/0000_pickup_box_joint_noise+vertex_quantization_mild+mild.mp4,reference,mild+mild
